"filename", "language", "Markdown", "YAML", "Dart", "JSON", "Swift", "XML", "C++", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\fabri\Desktop\eds_test\lib\interface\views\users\users_view_model.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\fabri\Desktop\eds_test\lib\interface\widgets\button_widget.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\fabri\Desktop\eds_test\lib\interface\widgets\carousel_images_widget.dart", "Dart", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\fabri\Desktop\eds_test\lib\interface\widgets\image_widget.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\fabri\Desktop\eds_test\lib\interface\widgets\text_input_field_widget.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 1, 5, 54
"c:\Users\fabri\Desktop\eds_test\lib\interface\widgets\text_widget.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
"c:\Users\fabri\Desktop\eds_test\lib\interface\widgets\user_albums_widget.dart", "Dart", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\fabri\Desktop\eds_test\lib\interface\widgets\user_info_widget.dart", "Dart", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 3, 80
"c:\Users\fabri\Desktop\eds_test\lib\interface\widgets\user_posts_widget.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"c:\Users\fabri\Desktop\eds_test\lib\locator.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 5, 15
"c:\Users\fabri\Desktop\eds_test\lib\main.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\fabri\Desktop\eds_test\lib\models\album.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
